Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2021-05-19	u2021-05-19-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	BankiErik	Bánki, Erik	M	1970	
ParlaMint-HU-en_2021-05-19	u2021-05-19-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2021-05-19	u2021-05-19-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2021-05-19	u2021-05-19-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	PotocskaneKorosiAnita	Potocskáné Kőrösi, Anita	F	1981	
ParlaMint-HU-en_2021-05-19	u2021-05-19-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2021-05-19	u2021-05-19-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	HargitaiJanos	Hargitai, János	M	1958	
ParlaMint-HU-en_2021-05-19	u2021-05-19-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	TothBertalan	Tóth, Bertalan	M	1975	
ParlaMint-HU-en_2021-05-19	u2021-05-19-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	MesterhazyAttila	Mesterházy, Attila	M	1974	
ParlaMint-HU-en_2021-05-19	u2021-05-19-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	VarjuLaszlo	Varju, László	M	1961	
ParlaMint-HU-en_2021-05-19	u2021-05-19-28	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-29	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	CsardiAntal	Csárdi, Antal	M	1976	
ParlaMint-HU-en_2021-05-19	u2021-05-19-30	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-31	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	SzaboTimea	Szabó, Tímea	F	1976	
ParlaMint-HU-en_2021-05-19	u2021-05-19-32	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-33	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	MellarTamas	Mellar, Tamás	M	1954	
ParlaMint-HU-en_2021-05-19	u2021-05-19-34	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-35	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	MNOÖ	National Self-Government of Germans in Hungary	-	Centre-right	RitterImre	Ritter, Imre	M	1952	
ParlaMint-HU-en_2021-05-19	u2021-05-19-36	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-37	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	BanaiPeterBeno	Banai, Péter Benő	M	1974	
ParlaMint-HU-en_2021-05-19	u2021-05-19-38	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-39	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	BencsikJanos	Bencsik, János	M	1965	
ParlaMint-HU-en_2021-05-19	u2021-05-19-40	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-41	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	BalczoZoltan	Balczó, Zoltán	M	1948	
ParlaMint-HU-en_2021-05-19	u2021-05-19-42	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-43	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	VarjuLaszlo	Varju, László	M	1961	
ParlaMint-HU-en_2021-05-19	u2021-05-19-44	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-45	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	DeutschTamas	Deutsch, Tamás	M	1966	
ParlaMint-HU-en_2021-05-19	u2021-05-19-46	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-47	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	NunkovicsTibor	Nunkovics, Tibor	M	1984	
ParlaMint-HU-en_2021-05-19	u2021-05-19-48	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-49	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	VejkeyImre	Vejkey, Imre	M	1964	
ParlaMint-HU-en_2021-05-19	u2021-05-19-50	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-51	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HarangozoTamas	Harangozó, Tamás Attila	M	1979	
ParlaMint-HU-en_2021-05-19	u2021-05-19-52	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-53	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HarangozoTamas	Harangozó, Tamás Attila	M	1979	
ParlaMint-HU-en_2021-05-19	u2021-05-19-54	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-55	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HarangozoTamas	Harangozó, Tamás Attila	M	1979	
ParlaMint-HU-en_2021-05-19	u2021-05-19-56	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-05-19	u2021-05-19-57	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	HorcsikRichard	Hörcsik, Richárd	M	1955	
ParlaMint-HU-en_2021-05-19	u2021-05-19-58	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 72, day 3, 2021-05-19 [ParlaMint.ana]	2021-05-19	Unicameralism	8. ciklus	-	72. ülés	3. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
